Rank_year,Rank_yearPrev,Company,Notes,Country,ArmsRevenue_year,ArmsRevenue_yearPrev,TotalRevenue_year,ArmsRevenue_pctTotRevenue_year,ArmsRevenue_yearPrev_constant2022Prices,Year
25,42,Amentum,United States,5020,3090,6400,0.784375,5424.2270403926705,3495.6699551769193,2021
26,24,Rolls-Royce,United Kingdom,4970,4870,15058,0.33005711249833974,4860.935532517984,5239.071466928278,2021
27,32,MBDA,Trans-European,4960,4050,5007,0.9906131416017575,4726.709155194897,4100.195510415963,2021
28,118,Peraton,United States,4830,650,7000,0.69,5218.927610577011,735.335103839805,2021
29,30,Elbit Systems,Israel,4750,4240,5279,0.8997916272021216,4769.94248022119,4608.000458218633,2021
30,33,Naval Group,France,4740,3750,4793,0.9889422073857709,4460.507655257243,3721.302615988063,2021
31,29,Rheinmetall,Germany,4450,4240,6691,0.6650724854281871,4292.347225174006,4376.465191055869,2021
32,31,CACI International,United States,4330,4190,6203,0.698049330968886,4678.665953167383,4740.083207828897,2021
33,26,General Electric,United States,4140,4570,74196,0.05579815623483746,4473.366523351724,5169.971422381399,2021
34,39,Saab,Sweden,4090,3390,4566,0.8957512045554096,3719.610453986755,3381.807356440505,2021
35,28,Mitsubishi Heavy Industries,Japan,4060,4420,35163,0.11546227568751244,3461.3519492177697,3655.818990265668,2021
36,35,United Shipbuilding Corp.,Russia,4020,3700,5091,0.789628756629346,4823.76398825117,4649.484765574792,2021
37,41,Tactical Missiles Corp.,Russia,3990,3250,4072,0.9798624754420432,4787.765749532878,4084.00688868056,2021
38,38,Sandia National Laboratories,United States,3900,3430,4460,0.874439461883408,4214.040927795102,3880.3067787238942,2021
39,37,Israel Aerospace Industries,Israel,3870,3510,4477,0.8644181371454098,3886.247873359159,3814.64188876118,2021
40,40,Science Applications International Corp.,United States,3550,3320,7394,0.4801190154179064,3835.8577676083623,3755.8654534586967,2021
41,43,KBR,United States,3530,3090,7339,0.4809919607575964,3814.247301311977,3495.6699551769193,2021
42,36,Textron,United States,3350,3530,12382,0.27055403004361167,3619.753104644511,3993.4352562377103,2021
43,44,Hindustan Aeronautics,India,3300,2970,3468,0.9515570934256056,3316.6073031063793,3144.4923832119184,2021
44,46,Hanwha Aerospace,South Korea,3250,2810,5608,0.5795292439372325,3036.938611507843,2775.7117673614453,2021
45,45,Babcock International Group,United Kingdom,3100,2850,5642,0.5494505494505495,3031.9718613291247,3065.986382083284,2021
46,-,KNDS,Trans-European,3030,. .,3193,0.9489508299404948,2887.4856331130118,. .,2021
47,48,Rafael,Israel,3010,2690,3075,0.9788617886178862,3022.6372348349014,2923.4719888226705,2021
48,49,CEA,France,2940,2520,6565,0.44782939832444785,2766.6439887038596,2500.7153579439782,2021
49,55,Fincantieri,Italy,2870,2050,7878,0.3643056613353643,2775.699815897711,2095.5115104166616,2021
50,47,General Atomics,United States,2570,2760,. .,. .,2776.9449190854907,3122.345979381326,2021
51,51,Oshkosh Corp.,United States,2530,2260,7737,0.32700012924906297,2733.72398649272,2556.703591812245,2021
52,54,Bechtel Corp.,United States,2470,2170,17500,0.14114285714285715,2668.8925876035646,2454.8879620498105,2021
53,53,TransDigm Group,United States,2400,2190,4798,0.5002084201750729,2593.255955566217,2477.513657552574,2021
54,56,ThyssenKrupp,Germany,2390,2010,40226,0.059414309153283947,2305.3280602619943,2074.6922250052585,2021
55,52,ASELSAN,Türkiye,2160,2200,2278,0.9482001755926251,1996.6182423637442,1931.7662132020212,2021
56,61,ST Engineering,Singapore,2160,1890,5728,0.3770949720670391,2220.8616422128302,2041.334020022078,2021
57,58,ManTech International Corp.,United States,2080,1940,2554,0.8144087705559906,2247.4884948240547,2194.6924637680336,2021
58,50,Kawasaki Heavy Industries,Japan,2070,2440,13671,0.15141540487162608,1764.7779642563507,2018.144419965663,2021
59,57,Jacobs Engineering Group,United States,2040,1990,14093,0.14475271411338964,2204.2675622312845,2251.256702524942,2021
60,66,NCSIST,Taiwan,1970,1690,2056,0.958171206225681,1903.7174048174345,1750.4385275664824,2021
61,64,Serco Group,United Kingdom,1870,1730,6414,0.2915497349547864,1828.963671188859,1861.1075231593268,2021
62,59,Sierra Nevada Corp.,United States,1860,1920,2106,0.8831908831908832,2009.773365563818,2172.06676826527,2021
63,72,Bharat Electronics,India,1830,1460,2038,0.8979391560353287,1839.2095044499013,1545.777400501482,2021
64,71,CNNC,China,1810,1470,38251,0.04731902433923296,1773.3104266275473,1555.7644949515106,2021
65,63,Korea Aerospace Industries,South Korea,1800,1800,2228,0.8078994614003591,1681.9967694504974,1778.0360075624917,2021
66,62,Parker-Hannifin Corp.,United States,1780,1840,15862,0.11221787920817047,1923.3315003782775,2081.5639862542175,2021
67,67,BWX Technologies,United States,1650,1670,2124,0.7768361581920904,1782.863469451774,1889.2455744807298,2021
68,89,Teledyne Technologies,United States,1640,1050,4614,0.3554399653229302,1772.0582363035815,1187.8490138950697,2021
69,77,Vectrus,United States,1630,1330,1784,0.9136771300448431,1761.253003155389,1504.608750933755,2021
70,81,Hensoldt,Germany,1610,1270,1743,0.9236947791164659,1552.9615803438537,1310.8751869436212,2021
71,76,LIG Nex1,South Korea,1590,1360,1593,0.9981167608286252,1485.763813014606,1343.4049834916602,2021
72,-,Atomic Weapons Establishment,United Kingdom,1550,. .,1569,0.9878903760356915,1515.9859306645624,. .,2021
73,83,QinetiQ,United Kingdom,1510,1240,1816,0.8314977973568282,1476.8637130990253,1333.9730223800955,2021
74,78,Aerojet Rocketdyne,United States,1470,1330,2188,0.6718464351005484,1588.369272784308,1504.608750933755,2021
75,-,Eaton,United States,1460,450,19628,0.07438353372732831,1577.5640396361152,509.07814881217274,2021
76,65,Fluor Corp.,United States,1430,1700,12435,0.11499798954563731,1545.1483401915375,1923.1841177348747,2021
77,74,Parsons Corp.,United States,1430,1380,3661,0.39060366020213055,1545.1483401915375,1561.172989690663,2021
78,75,PGZ,Poland,1430,1370,1584,0.9027777777777778,1409.1063221019324,1432.9292354314873,2021
79,79,Fujitsu,Japan,1410,1320,32672,0.0431562193927522,1202.0951350731664,1091.78304686667,2021
80,80,UkrOboronProm,Ukraine,1400,1320,1476,0.948509485094851,1400.4642111831006,1438.9505232104154,2021
